STANDARD_CACHE_SIZE,LOWER_CACHE_SIZE,HIGHER_CACHE_SIZE,STANDARD_PAGE_SIZE,LOWER_PAGE_SIZE,HIGHER_PAGE_SIZE,HIGHEST_PAGE_SIZE,SECURE_DELETE_TRUE,SECURE_DELETE_FALSE,SECURE_DELETE_FAST,TEMP_STORE_DEFAULT,TEMP_STORE_FILE,TEMP_STORE_MEMORY,SHARED_CACHE_TRUE,SHARED_CACHE_FALSE,READ_UNCOMMITED_TRUE,READ_UNCOMMITED_FALSE,FULLSYNC_TRUE,FULLSYNC_FALSE,TRANSACTION_MODE_DEFERRED,TRANSACTION_MODE_IMMEDIATE,TRANSACTION_MODE_EXCLUSIVE,$<TPS
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,95.88999999999999
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,59.819999999999965
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,53.46999999999997
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,97.55999999999997
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,58.51999999999998
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,46.29999999999998
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,52.95999999999998
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,49.95999999999998
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,41.95999999999998
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,43.869999999999976
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,48.94999999999996
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,39.71999999999997
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,51.12999999999997
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,30.789999999999964
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,42.26999999999998
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,40.14999999999998
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,42.359999999999985
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,50.45999999999998
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,48.839999999999975
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,41.639999999999986
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,39.45999999999998
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,38.079999999999984
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,40.069999999999965
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,45.069999999999965
0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,54.789999999999964
0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,51.589999999999975
0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,40.17999999999998
0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,39.539999999999964
0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,41.579999999999984
0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,45.67999999999998
0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,39.47999999999996
0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,41.20999999999998
0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,34.40999999999997
0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,40.589999999999975
0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,45.20999999999998
0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,32.25999999999996
0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,34.869999999999976
0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,41.68999999999997
0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,43.059999999999974
0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,42.46999999999997
0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,37.14999999999998
0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,30.899999999999977
0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,36.349999999999966
0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,43.389999999999986
0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,53.079999999999984
0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,36.98999999999998
0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,43.17999999999998
