min_child_weight,nthread,n_estimators,max_depth,learning_rate,max_delta_step,subsample,colsample_bytree,lambda,alpha,scale_pos_weight,$<accuracy
0,0,0,0,0,0,0,0,0,0,0,9.799728799999997
0,0,0,0,0,0,0,0,0,0,1,9.799728799999997
0,0,0,0,0,0,0,0,0,1,0,9.799728799999997
0,0,0,0,0,0,0,0,0,1,1,9.799728799999997
0,0,0,0,0,0,0,0,1,0,0,9.784082609999999
0,0,0,0,0,0,0,0,1,0,1,9.784082609999999
0,0,0,0,0,0,0,0,1,1,0,9.825805779999996
0,0,0,0,0,0,0,0,1,1,1,9.825805779999996
0,0,0,0,0,0,0,1,0,0,0,9.914467509999994
0,0,0,0,0,0,0,1,0,0,1,9.914467509999994
0,0,0,0,0,0,0,1,0,1,0,9.898821319999996
0,0,0,0,0,0,0,1,0,1,1,9.898821319999996
0,0,0,0,0,0,0,1,1,0,0,9.867528949999993
0,0,0,0,0,0,0,1,1,0,1,9.867528949999993
0,0,0,0,0,0,0,1,1,1,0,9.919682899999998
0,0,0,0,0,0,0,1,1,1,1,9.919682899999998
0,0,0,0,0,0,1,0,0,0,0,9.940544489999994
0,0,0,0,0,0,1,0,0,0,1,9.940544489999994
0,0,0,0,0,0,1,0,0,1,0,9.919682899999998
0,0,0,0,0,0,1,0,0,1,1,9.919682899999998
0,0,0,0,0,0,1,0,1,0,0,9.956190669999998
0,0,0,0,0,0,1,0,1,0,1,9.956190669999998
0,0,0,0,0,0,1,0,1,1,0,9.966621469999993
0,0,0,0,0,0,1,0,1,1,1,9.966621469999993
0,0,0,0,0,0,1,1,0,0,0,9.940544489999994
0,0,0,0,0,0,1,1,0,0,1,9.940544489999994
0,0,0,0,0,0,1,1,0,1,0,9.924898299999995
0,0,0,0,0,0,1,1,0,1,1,9.924898299999995
0,0,0,0,0,0,1,1,1,0,0,9.924898299999995
0,0,0,0,0,0,1,1,1,0,1,9.924898299999995
0,0,0,0,0,0,1,1,1,1,0,9.966621469999993
0,0,0,0,0,0,1,1,1,1,1,9.966621469999993
0,0,0,0,0,1,0,0,0,0,0,9.799728799999997
0,0,0,0,0,1,0,0,0,0,1,9.799728799999997
0,0,0,0,0,1,0,0,0,1,0,9.799728799999997
0,0,0,0,0,1,0,0,0,1,1,9.799728799999997
0,0,0,0,0,1,0,0,1,0,0,9.784082609999999
0,0,0,0,0,1,0,0,1,0,1,9.784082609999999
0,0,0,0,0,1,0,0,1,1,0,9.825805779999996
0,0,0,0,0,1,0,0,1,1,1,9.825805779999996
0,0,0,0,0,1,0,1,0,0,0,9.914467509999994
0,0,0,0,0,1,0,1,0,0,1,9.914467509999994
0,0,0,0,0,1,0,1,0,1,0,9.898821319999996
0,0,0,0,0,1,0,1,0,1,1,9.898821319999996
0,0,0,0,0,1,0,1,1,0,0,9.867528949999993
0,0,0,0,0,1,0,1,1,0,1,9.867528949999993
0,0,0,0,0,1,0,1,1,1,0,9.919682899999998
0,0,0,0,0,1,0,1,1,1,1,9.919682899999998
0,0,0,0,0,1,1,0,0,0,0,9.940544489999994
0,0,0,0,0,1,1,0,0,0,1,9.940544489999994
0,0,0,0,0,1,1,0,0,1,0,9.919682899999998
0,0,0,0,0,1,1,0,0,1,1,9.919682899999998
0,0,0,0,0,1,1,0,1,0,0,9.956190669999998
0,0,0,0,0,1,1,0,1,0,1,9.956190669999998
0,0,0,0,0,1,1,0,1,1,0,9.966621469999993
0,0,0,0,0,1,1,0,1,1,1,9.966621469999993
0,0,0,0,0,1,1,1,0,0,0,9.940544489999994
0,0,0,0,0,1,1,1,0,0,1,9.940544489999994
0,0,0,0,0,1,1,1,0,1,0,9.924898299999995
0,0,0,0,0,1,1,1,0,1,1,9.924898299999995
0,0,0,0,0,1,1,1,1,0,0,9.924898299999995
0,0,0,0,0,1,1,1,1,0,1,9.924898299999995
0,0,0,0,0,1,1,1,1,1,0,9.966621469999993
0,0,0,0,0,1,1,1,1,1,1,9.966621469999993
0,0,0,0,1,0,0,0,0,0,0,18.081777409999994
0,0,0,0,1,0,0,0,0,0,1,18.081777409999994
0,0,0,0,1,0,0,0,0,1,0,18.076562009999996
0,0,0,0,1,0,0,0,0,1,1,18.076562009999996
0,0,0,0,1,0,0,0,1,0,0,18.071346619999993
0,0,0,0,1,0,0,0,1,0,1,18.071346619999993
0,0,0,0,1,0,0,0,1,1,0,18.071346619999993
0,0,0,0,1,0,0,0,1,1,1,18.071346619999993
0,0,0,0,1,0,0,1,0,0,0,18.566809219999996
0,0,0,0,1,0,0,1,0,0,1,18.566809219999996
0,0,0,0,1,0,0,1,0,1,0,18.566809219999996
0,0,0,0,1,0,0,1,0,1,1,18.566809219999996
0,0,0,0,1,0,0,1,1,0,0,18.566809219999996
0,0,0,0,1,0,0,1,1,0,1,18.566809219999996
0,0,0,0,1,0,0,1,1,1,0,18.566809219999996
0,0,0,0,1,0,0,1,1,1,1,18.566809219999996
0,0,0,0,1,0,1,0,0,0,0,16.684051319999995
0,0,0,0,1,0,1,0,0,0,1,16.684051319999995
0,0,0,0,1,0,1,0,0,1,0,16.684051319999995
0,0,0,0,1,0,1,0,0,1,1,16.684051319999995
0,0,0,0,1,0,1,0,1,0,0,16.684051319999995
0,0,0,0,1,0,1,0,1,0,1,16.684051319999995
0,0,0,0,1,0,1,0,1,1,0,16.684051319999995
0,0,0,0,1,0,1,0,1,1,1,16.684051319999995
0,0,0,0,1,0,1,1,0,0,0,18.832794409999998
0,0,0,0,1,0,1,1,0,0,1,18.832794409999998
0,0,0,0,1,0,1,1,0,1,0,18.832794409999998
0,0,0,0,1,0,1,1,0,1,1,18.832794409999998
0,0,0,0,1,0,1,1,1,0,0,18.832794409999998
0,0,0,0,1,0,1,1,1,0,1,18.832794409999998
0,0,0,0,1,0,1,1,1,1,0,18.832794409999998
0,0,0,0,1,0,1,1,1,1,1,18.832794409999998
0,0,0,0,1,1,0,0,0,0,0,18.081777409999994
0,0,0,0,1,1,0,0,0,0,1,18.081777409999994
0,0,0,0,1,1,0,0,0,1,0,18.076562009999996
0,0,0,0,1,1,0,0,0,1,1,18.076562009999996
0,0,0,0,1,1,0,0,1,0,0,18.071346619999993
0,0,0,0,1,1,0,0,1,0,1,18.071346619999993
0,0,0,0,1,1,0,0,1,1,0,18.071346619999993
0,0,0,0,1,1,0,0,1,1,1,18.071346619999993
0,0,0,0,1,1,0,1,0,0,0,18.566809219999996
0,0,0,0,1,1,0,1,0,0,1,18.566809219999996
0,0,0,0,1,1,0,1,0,1,0,18.566809219999996
0,0,0,0,1,1,0,1,0,1,1,18.566809219999996
0,0,0,0,1,1,0,1,1,0,0,18.566809219999996
0,0,0,0,1,1,0,1,1,0,1,18.566809219999996
0,0,0,0,1,1,0,1,1,1,0,18.566809219999996
0,0,0,0,1,1,0,1,1,1,1,18.566809219999996
0,0,0,0,1,1,1,0,0,0,0,16.684051319999995
0,0,0,0,1,1,1,0,0,0,1,16.684051319999995
0,0,0,0,1,1,1,0,0,1,0,16.684051319999995
0,0,0,0,1,1,1,0,0,1,1,16.684051319999995
0,0,0,0,1,1,1,0,1,0,0,16.684051319999995
0,0,0,0,1,1,1,0,1,0,1,16.684051319999995
0,0,0,0,1,1,1,0,1,1,0,16.684051319999995
0,0,0,0,1,1,1,0,1,1,1,16.684051319999995
0,0,0,0,1,1,1,1,0,0,0,18.832794409999998
0,0,0,0,1,1,1,1,0,0,1,18.832794409999998
0,0,0,0,1,1,1,1,0,1,0,18.832794409999998
0,0,0,0,1,1,1,1,0,1,1,18.832794409999998
0,0,0,0,1,1,1,1,1,0,0,18.832794409999998
0,0,0,0,1,1,1,1,1,0,1,18.832794409999998
0,0,0,0,1,1,1,1,1,1,0,18.832794409999998
0,0,0,0,1,1,1,1,1,1,1,18.832794409999998
0,0,0,1,0,0,0,0,0,0,0,1.5854803399999895
0,0,0,1,0,0,0,0,0,0,1,1.5854803399999895
0,0,0,1,0,0,0,0,0,1,0,1.601126530000002
0,0,0,1,0,0,0,0,0,1,1,1.601126530000002
0,0,0,1,0,0,0,0,1,0,0,1.7262960300000003
0,0,0,1,0,0,0,0,1,0,1,1.7262960300000003
0,0,0,1,0,0,0,0,1,1,0,1.6480650899999887
0,0,0,1,0,0,0,0,1,1,1,1.6480650899999887
0,0,0,1,0,0,0,1,0,0,0,0.2138312299999967
0,0,0,1,0,0,0,1,0,0,1,0.2138312299999967
0,0,0,1,0,0,0,1,0,1,0,0.06258474999999919
0,0,0,1,0,0,0,1,0,1,1,0.06258474999999919
0,0,0,1,0,0,0,1,1,0,0,0.22947741999999494
0,0,0,1,0,0,0,1,1,0,1,0.22947741999999494
0,0,0,1,0,0,0,1,1,1,0,0.0
0,0,0,1,0,0,0,1,1,1,1,0.0
0,0,0,1,0,0,1,0,0,0,0,2.2582663999999966
0,0,0,1,0,0,1,0,0,0,1,2.2582663999999966
0,0,0,1,0,0,1,0,0,1,0,2.1383122999999955
0,0,0,1,0,0,1,0,0,1,1,2.1383122999999955
0,0,0,1,0,0,1,0,1,0,0,2.2426202099999983
0,0,0,1,0,0,1,0,1,0,1,2.2426202099999983
0,0,0,1,0,0,1,0,1,1,0,2.0913737399999945
0,0,0,1,0,0,1,0,1,1,1,2.0913737399999945
0,0,0,1,0,0,1,1,0,0,0,1.564618749999994
0,0,0,1,0,0,1,1,0,0,1,1.564618749999994
0,0,0,1,0,0,1,1,0,1,0,1.1838948599999952
0,0,0,1,0,0,1,1,0,1,1,1.1838948599999952
0,0,0,1,0,0,1,1,1,0,0,1.7367268200000012
0,0,0,1,0,0,1,1,1,0,1,1.7367268200000012
0,0,0,1,0,0,1,1,1,1,0,1.2829873799999945
0,0,0,1,0,0,1,1,1,1,1,1.2829873799999945
0,0,0,1,0,1,0,0,0,0,0,1.5854803399999895
0,0,0,1,0,1,0,0,0,0,1,1.5854803399999895
0,0,0,1,0,1,0,0,0,1,0,1.601126530000002
0,0,0,1,0,1,0,0,0,1,1,1.601126530000002
0,0,0,1,0,1,0,0,1,0,0,1.7262960300000003
0,0,0,1,0,1,0,0,1,0,1,1.7262960300000003
0,0,0,1,0,1,0,0,1,1,0,1.6480650899999887
0,0,0,1,0,1,0,0,1,1,1,1.6480650899999887
0,0,0,1,0,1,0,1,0,0,0,0.2138312299999967
0,0,0,1,0,1,0,1,0,0,1,0.2138312299999967
0,0,0,1,0,1,0,1,0,1,0,0.06258474999999919
0,0,0,1,0,1,0,1,0,1,1,0.06258474999999919
0,0,0,1,0,1,0,1,1,0,0,0.22947741999999494
0,0,0,1,0,1,0,1,1,0,1,0.22947741999999494
0,0,0,1,0,1,0,1,1,1,0,0.0
0,0,0,1,0,1,0,1,1,1,1,0.0
0,0,0,1,0,1,1,0,0,0,0,2.2582663999999966
0,0,0,1,0,1,1,0,0,0,1,2.2582663999999966
0,0,0,1,0,1,1,0,0,1,0,2.1383122999999955
0,0,0,1,0,1,1,0,0,1,1,2.1383122999999955
0,0,0,1,0,1,1,0,1,0,0,2.2426202099999983
0,0,0,1,0,1,1,0,1,0,1,2.2426202099999983
0,0,0,1,0,1,1,0,1,1,0,2.0913737399999945
0,0,0,1,0,1,1,0,1,1,1,2.0913737399999945
0,0,0,1,0,1,1,1,0,0,0,1.564618749999994
0,0,0,1,0,1,1,1,0,0,1,1.564618749999994
0,0,0,1,0,1,1,1,0,1,0,1.1838948599999952
0,0,0,1,0,1,1,1,0,1,1,1.1838948599999952
0,0,0,1,0,1,1,1,1,0,0,1.7367268200000012
0,0,0,1,0,1,1,1,1,0,1,1.7367268200000012
0,0,0,1,0,1,1,1,1,1,0,1.2829873799999945
0,0,0,1,0,1,1,1,1,1,1,1.2829873799999945
0,0,0,1,1,0,0,0,0,0,0,9.460728070000002
0,0,0,1,1,0,0,0,0,0,1,9.460728070000002
0,0,0,1,1,0,0,0,0,1,0,9.638051529999998
0,0,0,1,1,0,0,0,0,1,1,9.638051529999998
