min_child_weight,nthread,n_estimators,max_depth,learning_rate,max_delta_step,subsample,colsample_bytree,lambda,alpha,scale_pos_weight,$<accuracy
0,0,0,0,0,0,0,0,0,0,0,10.629921260000003
0,0,0,0,0,0,0,0,0,0,1,2.362204719999994
0,0,0,0,0,0,0,0,0,1,0,14.173228339999994
0,0,0,0,0,0,0,0,0,1,1,3.149606300000002
0,0,0,0,0,0,0,0,1,0,0,12.992125979999997
0,0,0,0,0,0,0,0,1,0,1,2.362204719999994
0,0,0,0,0,0,0,0,1,1,0,14.566929130000005
0,0,0,0,0,0,0,0,1,1,1,2.755905510000005
0,0,0,0,0,0,0,1,0,0,0,10.629921260000003
0,0,0,0,0,0,0,1,0,0,1,4.330708659999999
0,0,0,0,0,0,0,1,0,1,0,11.81102362
0,0,0,0,0,0,0,1,0,1,1,3.149606300000002
0,0,0,0,0,0,0,1,1,0,0,11.02362205
0,0,0,0,0,0,0,1,1,0,1,3.5433070800000053
0,0,0,0,0,0,0,1,1,1,0,12.992125979999997
0,0,0,0,0,0,0,1,1,1,1,4.330708659999999
0,0,0,0,0,0,1,0,0,0,0,11.417322830000003
0,0,0,0,0,0,1,0,0,0,1,3.149606300000002
0,0,0,0,0,0,1,0,0,1,0,14.566929130000005
0,0,0,0,0,0,1,0,0,1,1,3.149606300000002
0,0,0,0,0,0,1,0,1,0,0,13.385826769999994
0,0,0,0,0,0,1,0,1,0,1,3.149606300000002
0,0,0,0,0,0,1,0,1,1,0,14.566929130000005
0,0,0,0,0,0,1,0,1,1,1,3.149606300000002
0,0,0,0,0,0,1,1,0,0,0,11.417322830000003
0,0,0,0,0,0,1,1,0,0,1,2.755905510000005
0,0,0,0,0,0,1,1,0,1,0,14.173228339999994
0,0,0,0,0,0,1,1,0,1,1,3.5433070800000053
0,0,0,0,0,0,1,1,1,0,0,13.385826769999994
0,0,0,0,0,0,1,1,1,0,1,2.755905510000005
0,0,0,0,0,0,1,1,1,1,0,14.173228339999994
0,0,0,0,0,0,1,1,1,1,1,3.149606300000002
0,0,0,0,0,1,0,0,0,0,0,10.629921260000003
0,0,0,0,0,1,0,0,0,0,1,2.362204719999994
0,0,0,0,0,1,0,0,0,1,0,14.173228339999994
0,0,0,0,0,1,0,0,0,1,1,3.149606300000002
0,0,0,0,0,1,0,0,1,0,0,12.992125979999997
0,0,0,0,0,1,0,0,1,0,1,2.362204719999994
0,0,0,0,0,1,0,0,1,1,0,14.566929130000005
0,0,0,0,0,1,0,0,1,1,1,2.755905510000005
0,0,0,0,0,1,0,1,0,0,0,10.629921260000003
0,0,0,0,0,1,0,1,0,0,1,4.330708659999999
0,0,0,0,0,1,0,1,0,1,0,11.81102362
0,0,0,0,0,1,0,1,0,1,1,3.149606300000002
0,0,0,0,0,1,0,1,1,0,0,11.02362205
0,0,0,0,0,1,0,1,1,0,1,3.5433070800000053
0,0,0,0,0,1,0,1,1,1,0,12.992125979999997
0,0,0,0,0,1,0,1,1,1,1,4.330708659999999
0,0,0,0,0,1,1,0,0,0,0,11.417322830000003
0,0,0,0,0,1,1,0,0,0,1,3.149606300000002
0,0,0,0,0,1,1,0,0,1,0,14.566929130000005
0,0,0,0,0,1,1,0,0,1,1,3.149606300000002
0,0,0,0,0,1,1,0,1,0,0,13.385826769999994
0,0,0,0,0,1,1,0,1,0,1,3.149606300000002
0,0,0,0,0,1,1,0,1,1,0,14.566929130000005
0,0,0,0,0,1,1,0,1,1,1,3.149606300000002
0,0,0,0,0,1,1,1,0,0,0,11.417322830000003
0,0,0,0,0,1,1,1,0,0,1,2.755905510000005
0,0,0,0,0,1,1,1,0,1,0,14.173228339999994
0,0,0,0,0,1,1,1,0,1,1,3.5433070800000053
