tuner,operator
FLASH,b3a_f2a
HEBO,b1a_d16a_eb5a_ec5a_ee15a_f6a
PromiseTune,a4a_b2a_d10a_ee8a_f1a
SWAY,ee11a_f4a
Tuneful,b1b_ed5a_f1b
CMAES,a2a_d2a_ee2a
RandomSearch,
ACO,a1a_d1a_ee1a
BO,b1c_f1c
DE,d3a_ea1a_eb1a_ec1a
ES,d4a_ea2a_eb2a
GA,d5a_ea3a_eb2b_ec2b
HillClimbing,ea4a_eb3a
PSO,a3a_d6a_ee3a
SA,d7a_ea5a_eb3b
ATConf,b1d_ed1a_ee4a_f1d
BestConfig,d8a_ee5a
BOCA,b2b_ed2a_ee6a_f1e
ConEx,d9a_ea6a_eb2c_ec3a
OtterTune,b1e_ed3a_ee7a_f1f
ResTune,b1f_ee9a_f1g
ROBOTune,b1g_ed4a_ee10a_f3a
GGA,a5a_d11a_ea7a_eb2d_ec4a
HABO,d12a_ee13a
irace,d13a_ee14a_f5a
ParamILS,d14a_ea8a_eb3c_eb4a
SMAC,b2c_f1h
UQGuided,b4a_d15a_eb2e_ee12a
Hyperband,c1a
BOHB,c1b
DEHB,c1c
